[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1682711749.1169403
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\http\client.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1682711749.2054522
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1682711747.5214882
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py first seen with mtime 1682710247.6623087
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_subprocess.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\decimal.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\email\header.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1682711748.0932124
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\_common.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\setuptools\py34compat.py first seen with mtime 1682710247.607756
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1682711706.886929
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1682711749.0759423
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\setuptools\depends.py first seen with mtime 1682710247.5997522
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\views\defaults.py first seen with mtime 1682711749.2254515
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\db\models\manager.py first seen with mtime 1682711749.1319375
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1682711749.0679371
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\textwrap.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1682711749.1419451
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\pkg_resources\_vendor\packaging\_structures.py first seen with mtime 1682710247.5857527
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\template\context.py first seen with mtime 1682711749.1844532
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1682711749.2164545
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\sqlparse\sql.py first seen with mtime 1682711706.886929
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\setuptools\_distutils\command\__init__.py first seen with mtime 1682710247.622145
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\forms\utils.py first seen with mtime 1682711749.1524546
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\setuptools\_distutils\archive_util.py first seen with mtime 1682710247.6117556
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\contextvars.py first seen with mtime 1680671050.0
